id,text,chapter_no,tag,quiz_id,topic_id,created_at
116,"When using the JavaScript `fetch` API to make a POST request with a JSON payload, which of the following `headers` is typically required for the server to correctly interpret the body?",3,Fetch API,7,4,2025-05-14 11:16:21.164723+00:00
117,"What is the purpose of the `x-init` directive in Alpine.js, as seen in `multi_choice_quiz/templates/multi_choice_quiz/index.html`?",3,x-init,7,4,2025-05-14 11:16:21.164739+00:00
712,"What happens if you use <code>x-ref=""itemElement""</code> on an element that is inside an <code>x-for</code> loop in Alpine.js?",4,x-ref x-for,42,35,2025-05-14 11:17:25.282033+00:00
721,What is the primary purpose of the `x-bind` directive (or its common shorthand `:`) in Alpine.js?,4,x-bind Purpose,42,35,2025-05-14 11:17:25.282198+00:00
725,What is the primary role of the `x-trap.inert` directive when building an accessible modal dialog with Alpine.js?,4,x-trap.inert Accessibility,42,35,2025-05-14 11:17:25.282261+00:00
728,"If you use a simple <code>x-transition</code> directive without specifying individual stage classes (e.g., <code>div x-show=""show"" x-transition.../div</code>), what kind of default animation does Alpine.js typically apply?",4,x-transition shorthands,42,35,2025-05-14 11:17:25.282308+00:00
740,"To test custom validation logic in a Django model's `clean()` method or field validators, which model method should you typically call on an instance before asserting for `ValidationError`?",5,full_clean(),43,36,2025-05-14 11:17:27.098540+00:00
749,"When running Gunicorn for a Django application inside a Docker container (e.g., for Cloud Run), why is it important to bind to `0.0.0.0` (e.g., `gunicorn myproject.wsgi:application --bind 0.0.0.0:$PORT`)?",5,Gunicorn Binding,43,36,2025-05-14 11:17:27.098679+00:00
756,"If your Cloud Run service needs to connect to a Cloud SQL instance with a private IP address, what additional GCP networking component is typically required?",5,VPC Connector,44,37,2025-05-14 11:17:28.913948+00:00
766,"When testing Django authentication workflows, what is the primary role of `django.test.Client`?",5,Test Client,44,37,2025-05-14 11:17:28.914120+00:00
798,"In an HTMX-enhanced Django formset, why is it crucial to correctly manage form prefixes (e.g., `form-0`, `form-1`) and potentially pass a `form_idx` when adding new forms dynamically?",6,Form Prefixing form_idx,46,39,2025-05-14 11:17:32.541935+00:00
802,"When a <code>&lt;form&gt;</code> element wraps multiple filter inputs (e.g., search box, category checkboxes) and has HTMX attributes for triggering requests, how are the values of all filters typically included in the HTMX request?",6,Form Serialization,46,39,2025-05-14 11:17:32.542013+00:00
803,"If you use the Django template tag `{{ my_django_data|json_script:""myDataId"" }}` to embed data, how would you typically access and parse this data to initialize an Alpine.js component's state via `x-data`?",6,json_script Usage,46,39,2025-05-14 11:17:32.542030+00:00
