QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-ومع ذلك ، أعلن برلماني من الحزب الأفريقي لتحقيق استقلال غينيا - بيساو والرأس الأخضر يمثل الهيئتين الانتخابيتين كاتيو وكاسين في الجنوب ، في الجمعية الوطنية ، عن استنكاره لما تردد عن مشاركة عناصر من الجيش في 3 آذار / مارس 2010 في تيسير عملية الهبوط لطائرة يدعى أنها تحمل ك ـ ـ ـ ت كبيرة من المخدرات غير المشروعة في مهبط للطائرات في كوفار ، بالقرب من كاتيو .-

- الحرف الأول [ ك ] - الحرف الأخير [ ت ] - [ ك ـ ـ ـ ت ] - عدد الحروف 5 -",كميات,وكميات,بكميات
"-وقد أقرت اللجنة أيضا بأن السلام والأمن من الشروط الأساسية التي تمكن البلدان من تحقيق النمو والتنمية المستدامة ، كما وضح من تجربة عدد من البلدان الخارجة من الصراع التي انضمت إلى مجموعة ا ـ ـ ـ ـ ـ ـ ـ ـ ت الأفريقية الأسرع نموا في عام 2005 .-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 10 -",الاقتصادات,والاقتصادات,اقتصادات
"-وإذ يلاحظ الضعف النسبي لتمثيل الخبراء من البلدان النامية والبلدان التي تمر ا ـ ـ ـ ـ ـ ـ ـ ـ ا بمرحلة انتقالية في أعمال اللجنة وضرورة تعزيز مشاركتهم على نطاق أوسع في أعمالها ،-

- الحرف الأول [ ا ] - الحرف الأخير [ ا ] - [ ا ـ ـ ـ ـ ـ ـ ـ ـ ا ] - عدد الحروف 10 -",اقتصاداتها,اقتصادات,اقتصادا
"-وفيما يتعلق بمنح مركز اللاجئ ، تتمشى إجراءات الأهلية التي تنتهجها حكومة المكسيك مع أحكام الفقرتين 2 ( ج ) و 3 ( ز ) من قرار مجلس الأمن 1373 ( 2001 ) ، وتطبق أحكام المادة 1 من اتفاقية جنيف المتعلقة بمركز اللاجئين المعتمدة في 28 تموز / يوليه 1951 ، والتي ت ـ ـ  المادة 1 - واو ( أ ) و ( ب ) و ( ج ) منها على ما يلي :-

- الحرف الأول [ ت ] - [ ت ـ ـ  ] - عدد الحروف 3 -",تنص,وتنص,ينص
"-والآن ، وبعد خمس سنوات من انعقاد مؤتمر القمة العالمي لعام 2005 ، وعقد من الزمن من تاريخ صدور التقرير القيم للفريق المعني ب ـ ـ ـ ـ ـ ت الأمم المتحدة للسلام ( تقرير الإبراهيمي ، انظر A / 55 / 305 - S / 2000 / 809 ) ، وما يقرب من عقدين منذ اجتماع القمة الأول للمجلس ، أصبح ثمة حاجة إلى اجتماع آخر من هذا النوع العالي المستوى لإجراء تقييم للحالة وللتطلع نحو المستقبل .-

- الحرف الأول [ ب ] - الحرف الأخير [ ت ] - [ ب ـ ـ ـ ـ ـ ت ] - عدد الحروف 7 -",بعمليات,كعمليات,عمليات
"-ولهذا السبب ، نؤيد "" ت ـ ـ ـ ف الحضارات "" ، وعلى الصعيد الإقليمي نؤيد عملية برشلونه ( الأورو متوسطية - التي تمثل حلقة وصل متميزة أنشأها الاتحاد الأوروبي مع بلدان البحر الأبيض المتوسط سنة 1995 ) وتتيح إطارا للنقاش السياسي وفرصا للتبادل الثقافي ، لا سيما من خلال مؤسسة أنا لينده .-

- الحرف الأول [ ت ] - الحرف الأخير [ ف ] - [ ت ـ ـ ـ ف ] - عدد الحروف 5 -",تحالف,كتحالف,وتحالف
"-وينبغي أن يكون نتاج هذه العمليات على المدى المتوسط أن تنعم المشاريع الصغيرة والمتوسطة الحجم في البلدان النامية بفرص جديدة للحصول على التمويل بكلفة أقل ب ـ ـ ـ ر .-

- الحرف الأول [ ب ] - الحرف الأخير [ ر ] - [ ب ـ ـ ـ ر ] - عدد الحروف 5 -",بكثير,بكثيرة,وبكثير
"-وينبغي إشراك م ـ ـ ـ ـ ت حقوق الإنسان إشراكا كاملا في الأعمال التحضيرية لنظام مجلس الحكماء وفي تطبيقه ورصده .-

- الحرف الأول [ م ] - الحرف الأخير [ ت ] - [ م ـ ـ ـ ـ ت ] - عدد الحروف 6 -",منظمات,كمنظمات,بمنظمات
"-151 - في مواجهة الشكاوى المتكررة من س ـ ـ  سلوك ضباط تابعين لقوة الشرطة ، وجهت قوة الشرطة اهتماما إلى تعزيز نظم المساءلة الداخلية .-

- الحرف الأول [ س ] - [ س ـ ـ  ] - عدد الحروف 3 -",سوء,لسوء,وسوء
"-واستفسر أحد أعضاء اللجنة أيضا عن حالة خدم المنازل القادمين من وراء ا ـ ـ ـ ـ ر وعن التدابير المتخذة لتحسين حالتهم ، وذلك نظرا لما يفاد عن تعرض نسبة كبيرة منهم لمختلف أشكال الإساءة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ر ] - [ ا ـ ـ ـ ـ ر ] - عدد الحروف 6 -",البحار,لبحار,والبحار
